number,f_class_1,f_class_2,f_name,f_detail,f_algorithm,f_cariable,column_type,table_fi_type,table_name_cn,table_name,column_name_CN,column_name
1,A股财务,历史财务,,,,,0,历史财务,中国A股财务指标,AShareFinancialIndicator,Wind代码,WIND_CODE
2,A股财务,历史财务,,,,,0,历史财务,中国A股财务指标,AShareFinancialIndicator,公告日期,ANN_DT
3,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,扣除非经常性损益后的净利润(扣除少数股东损益),S_FA_DEDUCTEDPROFIT
4,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,利息费用,S_STMNOTE_FINEXP
5,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,折旧与摊销,S_STM_IS
6,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,带息债务,S_FA_INTERESTDEBT
7,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,全部投入资本,S_FA_INVESTCAPITAL
8,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,销售费用/营业总收入,S_FA_SALEEXPENSETOGR
9,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,管理费用/营业总收入,S_FA_ADMINEXPENSETOGR
10,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,财务费用/营业总收入,S_FA_FINAEXPENSETOGR
11,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,投入资本回报率,S_FA_ROIC
12,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,年化净资产收益率,S_FA_ROE_YEARLY
13,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,资产负债率,S_FA_DEBTTOASSETS
14,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,非流动资产/总资产,S_FA_NCATOASSETS
15,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.经营活动净收益,S_QFA_OPERATEINCOME
16,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.价值变动净收益,S_QFA_INVESTINCOME
17,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.扣除非经常损益后的净利润,S_QFA_DEDUCTEDPROFIT
18,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.每股收益,S_QFA_EPS
19,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.销售净利率,S_QFA_NETPROFITMARGIN
20,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.销售毛利率,S_QFA_GROSSPROFITMARGIN
21,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.销售期间费用率,S_QFA_EXPENSETOSALES
22,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.净利润／营业总收入,S_QFA_PROFITTOGR
23,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.销售费用／营业总收入,S_QFA_SALEEXPENSETOGR
24,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.管理费用／营业总收入,S_QFA_ADMINEXPENSETOGR
25,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.财务费用／营业总收入,S_QFA_FINAEXPENSETOGR
26,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.资产减值损失／营业总收入,S_QFA_IMPAIRTOGR_TTM
27,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.营业总成本／营业总收入,S_QFA_GCTOGR
28,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.营业利润／营业总收入,S_QFA_OPTOGR
29,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.净资产收益率,S_QFA_ROE
30,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.净资产收益率(扣除非经常损益),S_QFA_ROE_DEDUCTED
31,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.总资产净利润,S_QFA_ROA
32,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.经营活动净收益／利润总额,S_QFA_OPERATEINCOMETOEBT
33,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.价值变动净收益／利润总额,S_QFA_INVESTINCOMETOEBT
34,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.扣除非经常损益后的净利润／净利润,S_QFA_DEDUCTEDPROFITTOPROFIT
35,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.销售商品提供劳务收到的现金／营业收入,S_QFA_SALESCASHINTOOR
36,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.经营活动产生的现金流量净额／营业收入,S_QFA_OCFTOSALES
37,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.经营活动产生的现金流量净额／经营活动净收益,S_QFA_OCFTOOR
38,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.营业总收入同比增长率(%),S_QFA_YOYGR
39,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.营业总收入环比增长率(%),S_QFA_CGRGR
40,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.营业收入同比增长率(%),S_QFA_YOYSALES
41,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.营业收入环比增长率(%),S_QFA_CGRSALES
42,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.营业利润同比增长率(%),S_QFA_YOYOP
43,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.营业利润环比增长率(%),S_QFA_CGROP
44,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.净利润同比增长率(%),S_QFA_YOYPROFIT
45,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.净利润环比增长率(%),S_QFA_CGRPROFIT
46,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.归属母公司股东的净利润同比增长率(%),S_QFA_YOYNETPROFIT
47,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.归属母公司股东的净利润环比增长率(%),S_QFA_CGRNETPROFIT
48,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,加权平均净资产收益率,WAA_ROE
49,A股财务,快报预告,,,,,0,快报预告,中国A股业绩快报,AShareProfitExpress,Wind代码,S_INFO_WINDCODE
50,A股财务,快报预告,,,,,0,快报预告,中国A股业绩快报,AShareProfitExpress,公告日期,ANN_DT
51,A股财务,快报预告,,,,,1,快报预告,中国A股业绩快报,AShareProfitExpress,净利润(元),NET_PROFIT_EXCL_MIN_INT_INC
52,A股财务,快报预告,,,,,1,快报预告,中国A股业绩快报,AShareProfitExpress,净资产收益率(摊薄)(%),ROE_DILUTED
53,A股财务,快报预告,,,,,1,快报预告,中国A股业绩快报,AShareProfitExpress,同比增长率:营业收入,S_FA_YOYSALES
54,A股财务,快报预告,,,,,1,快报预告,中国A股业绩快报,AShareProfitExpress,同比增长率:营业利润,S_FA_YOYOP
55,A股财务,快报预告,,,,,1,快报预告,中国A股业绩快报,AShareProfitExpress,同比增长率:利润总额,S_FA_YOYEBT
56,A股财务,快报预告,,,,,1,快报预告,中国A股业绩快报,AShareProfitExpress,同比增长率:归属母公司股东的净利润,S_FA_YOYNETPROFIT_DEDUCTED
57,A股财务,快报预告,,,,,1,快报预告,中国A股业绩快报,AShareProfitExpress,同比增长率:基本每股收益,S_FA_YOYEPS_BASIC
58,A股财务,快报预告,,,,,1,快报预告,中国A股业绩快报,AShareProfitExpress,同比增减:加权平均净资产收益率,S_FA_ROE_YEARLY
59,A股财务,快报预告,,,,,0,快报预告,中国A股业绩预告,AShareProfitNotice,Wind代码,S_INFO_WINDCODE
60,A股财务,快报预告,,,,,0,快报预告,中国A股业绩预告,AShareProfitNotice,公告日期,S_PROFITNOTICE_DATE
61,A股财务,快报预告,,,,,0,快报预告,中国A股业绩预告,AShareProfitNotice,报告期,S_PROFITNOTICE_PERIOD
62,A股财务,快报预告,,,,,1,快报预告,中国A股业绩预告,AShareProfitNotice,是否变脸,S_PROFITNOTICE_SIGNCHANGE
63,A股财务,快报预告,,,,,1,快报预告,中国A股业绩预告,AShareProfitNotice,预告净利润变动幅度下限（%）,S_PROFITNOTICE_CHANGEMIN
64,A股财务,快报预告,,,,,1,快报预告,中国A股业绩预告,AShareProfitNotice,预告净利润变动幅度上限（%）,S_PROFITNOTICE_CHANGEMAX
65,A股财务,快报预告,,,,,1,快报预告,中国A股业绩预告,AShareProfitNotice,预告净利润下限（万元）,S_PROFITNOTICE_NETPROFITMIN
66,A股财务,快报预告,,,,,1,快报预告,中国A股业绩预告,AShareProfitNotice,预告净利润上限（万元）,S_PROFITNOTICE_NETPROFITMAX
67,A股财务,快报预告,,,,,1,快报预告,中国A股业绩预告,AShareProfitNotice,上年同期归母净利润,S_PROFITNOTICE_NET_PARENT_FIRM
68,A股财务,TTM和MRQ,,,,,0,TTM和MRQ,中国A股TTM与MRQ,AShareTTMAndMRQ,万得代码,S_INFO_WINDCODE
69,A股财务,TTM和MRQ,,,,,0,TTM和MRQ,中国A股TTM与MRQ,AShareTTMAndMRQ,报告期,REPORT_PERIOD
70,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM与MRQ,AShareTTMAndMRQ,营业收入(TTM),S_FA_OR_TTM
71,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM与MRQ,AShareTTMAndMRQ,毛利(TTM),S_FA_GROSSMARGIN_TTM
72,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM与MRQ,AShareTTMAndMRQ,经营活动净收益(TTM),S_FA_OPERATEINCOME_TTM
73,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM与MRQ,AShareTTMAndMRQ,价值变动净收益(TTM),S_FA_INVESTINCOME_TTM
74,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM与MRQ,AShareTTMAndMRQ,净利润(TTM),S_FA_PROFIT_TTM
75,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM与MRQ,AShareTTMAndMRQ,归属于母公司的净利润(TTM),S_FA_NETPROFIT_TTM
76,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM与MRQ,AShareTTMAndMRQ,营业总收入(TTM),S_FA_GR_TTM
77,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM与MRQ,AShareTTMAndMRQ,营业总成本(TTM),S_FA_GC_TTM
78,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM与MRQ,AShareTTMAndMRQ,现金净流量(TTM),S_FA_CASHFLOW_TTM
79,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM与MRQ,AShareTTMAndMRQ,经营活动现金净流量(TTM),S_FA_OPERATECASHFLOW_TTM
80,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM与MRQ,AShareTTMAndMRQ,投资活动现金净流量(TTM),S_FA_INVESTCASHFLOW_TTM
81,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM与MRQ,AShareTTMAndMRQ,筹资活动现金净流量(TTM),S_FA_FINANCECASHFLOW_TTM
82,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM与MRQ,AShareTTMAndMRQ,投入资本回报率ROIC(TTM),FA_ROIC_TTM
83,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM与MRQ,AShareTTMAndMRQ,税项／利润总额(TTM),S_FA_TAXTOEBT_TTM
84,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM与MRQ,AShareTTMAndMRQ,资产负债率(MRQ),S_FA_DEBTTOASSETS_MRQ
85,A股财务,TTM和MRQ,,,,,0,TTM和MRQ,中国A股TTM指标历史数据,AShareTTMHis,公司ID,S_INFO_COMPCODE
110,A股财务,TTM和MRQ,,,,,0,TTM和MRQ,中国A股TTM指标历史数据,AShareTTMHis,Wind代码,S_INFO_WINDCODE
86,A股财务,TTM和MRQ,,,,,0,TTM和MRQ,中国A股TTM指标历史数据,AShareTTMHis,公告日期,ANN_DT
87,A股财务,TTM和MRQ,,,,,0,TTM和MRQ,中国A股TTM指标历史数据,AShareTTMHis,截止日期,REPORT_PERIOD
88,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM指标历史数据,AShareTTMHis,营业总收入(TTM),TOT_OPER_REV_TTM
89,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM指标历史数据,AShareTTMHis,营业收入(TTM),OPER_REV_TTM
90,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM指标历史数据,AShareTTMHis,净利润(TTM),NET_PROFIT_TTM
91,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM指标历史数据,AShareTTMHis,归属于母公司的净利润(TTM),NET_PROFIT_PARENT_COMP_TTM
92,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM指标历史数据,AShareTTMHis,经营活动现金净流量(TTM),NET_CASH_FLOWS_OPER_ACT_TTM
93,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM指标历史数据,AShareTTMHis,现金净流量(TTM),NET_INCR_CASH_CASH_EQU_TTM
94,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM指标历史数据,AShareTTMHis,净利润/营业总收入(TTM),S_FA_PROFITTOGR_TTM
95,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM指标历史数据,AShareTTMHis,销售费用/营业总收入(TTM),S_FA_OPERATEEXPENSETOGR_TTM
96,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM指标历史数据,AShareTTMHis,管理费用/营业总收入(TTM),S_FA_ADMINEXPENSETOGR_TTM
97,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM指标历史数据,AShareTTMHis,财务费用/营业总收入(TTM),S_FA_FINAEXPENSETOGR_TTM
98,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM指标历史数据,AShareTTMHis,资产减值损失/营业总收入(TTM),S_FA_IMPAIRTOGR_TTM
99,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM指标历史数据,AShareTTMHis,总资产净利率(TTM),S_FA_ROA_TTM
100,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM指标历史数据,AShareTTMHis,净资产收益率(TTM),S_FA_ROE_TTM
101,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM指标历史数据,AShareTTMHis,经营活动净收益/利润总额(TTM),S_FA_OPERATEINCOMETOEBT_TTM
102,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM指标历史数据,AShareTTMHis,价值变动净收益/利润总额(TTM),S_FA_INVESTINCOMETOEBT_TTM
103,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM指标历史数据,AShareTTMHis,营业外收支净额/利润总额(TTM),S_FA_NONOPERATEPROFITTOEBT_TTM
104,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM指标历史数据,AShareTTMHis,EBITDA(TTM反推法),S_FA_EBITDA_TTM_INVERSE
105,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM指标历史数据,AShareTTMHis,EBITDA(TTM),S_FA_EBITDA_TTM
106,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM指标历史数据,AShareTTMHis,投入资本回报率(TTM),FA_ROIC_TTM
107,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM指标历史数据,AShareTTMHis,扣除财务费用前营业利润(TTM),S_FA_PREFINEXP_OP_TTM
108,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM指标历史数据,AShareTTMHis,税项/利润总额(TTM),S_FA_TAXTOEBT_TTM
109,A股财务,TTM和MRQ,,,,,1,TTM和MRQ,中国A股TTM指标历史数据,AShareTTMHis,资产负债率(MRQ),S_FA_DEBTTOASSETS_MRQ
111,A股财务,预测,,,,,0,预测,Wind一致预测指数指标,AIndexConsensusData,Wind代码,S_INFO_WINDCODE
112,A股财务,预测,,,,,0,预测,Wind一致预测指数指标,AIndexConsensusData,日期,EST_DT
113,A股财务,预测,,,,,0,预测,Wind一致预测指数指标,AIndexConsensusData,报告期,EST_REPORT_DT
114,A股财务,预测,,,,,1,预测,Wind一致预测指数指标,AIndexConsensusData,净利润,NET_PROFIT
115,A股财务,预测,,,,,1,预测,Wind一致预测指数指标,AIndexConsensusData,市盈率,EST_PE
116,A股财务,预测,,,,,1,预测,Wind一致预测指数指标,AIndexConsensusData,PEG,EST_PEG
117,A股财务,预测,,,,,1,预测,Wind一致预测指数指标,AIndexConsensusData,市净率,EST_PB
118,A股财务,预测,,,,,1,预测,Wind一致预测指数指标,AIndexConsensusData,净资产收益率,EST_ROE
119,A股财务,预测,,,,,1,预测,Wind一致预测指数指标,AIndexConsensusData,营业收入,EST_OPER_REVENUE
120,A股财务,预测,,,,,1,预测,Wind一致预测指数指标,AIndexConsensusData,息税前利润,EST_EBIT
121,A股财务,预测,,,,,1,预测,Wind一致预测指数指标,AIndexConsensusData,息税折旧摊销前利润,EST_EBITDA
122,A股财务,预测,,,,,2,预测,Wind一致预测指数指标,AIndexConsensusData,类型,TYPE1
123,A股财务,预测,,,,,0,预测,Wind一致预测指数滚动指标,AIndexConsensusRolling,证券ID,S_INFO_WINDCODE
124,A股财务,预测,,,,,0,预测,Wind一致预测指数滚动指标,AIndexConsensusRolling,日期,EST_DT
125,A股财务,预测,,,,,2,预测,Wind一致预测指数滚动指标,AIndexConsensusRolling,类型,ROLLING_TYPE
126,A股财务,预测,,,,,1,预测,Wind一致预测指数滚动指标,AIndexConsensusRolling,净利润,NET_PROFIT
127,A股财务,预测,,,,,1,预测,Wind一致预测指数滚动指标,AIndexConsensusRolling,每股收益,EST_EPS
128,A股财务,预测,,,,,1,预测,Wind一致预测指数滚动指标,AIndexConsensusRolling,市盈率,EST_PE
129,A股财务,预测,,,,,1,预测,Wind一致预测指数滚动指标,AIndexConsensusRolling,PEG,EST_PEG
130,A股财务,预测,,,,,1,预测,Wind一致预测指数滚动指标,AIndexConsensusRolling,市净率,EST_
131,A股财务,预测,,,,,1,预测,Wind一致预测指数滚动指标,AIndexConsensusRolling,净资产收益率,EST_ROE
132,A股财务,预测,,,,,1,预测,Wind一致预测指数滚动指标,AIndexConsensusRolling,营业收入,EST_OPER_REVENUE
133,A股财务,预测,,,,,1,预测,Wind一致预测指数滚动指标,AIndexConsensusRolling,每股现金流,EST_CFPS
134,A股财务,预测,,,,,1,预测,Wind一致预测指数滚动指标,AIndexConsensusRolling,基准年度,BENCHMARK_YR
135,A股财务,预测,,,,,0,预测,Wind一致预测个股指标,AShareConsensusindex,公司ID,S_INFO_COMPCODE
136,A股财务,预测,,,,,0,预测,Wind一致预测个股指标,AShareConsensusindex,日期,ANN_DT
137,A股财务,预测,,,,,0,预测,Wind一致预测个股指标,AShareConsensusindex,报告期,EST_REPORT_DT
138,A股财务,预测,,,,,1,预测,Wind一致预测个股指标,AShareConsensusindex,预测家数,PREDICTION_NUMBER
139,A股财务,预测,,,,,1,预测,Wind一致预测个股指标,AShareConsensusindex,主营业务收入,EST_OPER_REVENUE
140,A股财务,预测,,,,,1,预测,Wind一致预测个股指标,AShareConsensusindex,净利润,NET_PROFIT
141,A股财务,预测,,,,,1,预测,Wind一致预测个股指标,AShareConsensusindex,主营业务收入最大值,EST_OPER_REVENUE_MAX
142,A股财务,预测,,,,,1,预测,Wind一致预测个股指标,AShareConsensusindex,主营业务收入最小值,EST_OPER_REVENUE_MIN
143,A股财务,预测,,,,,1,预测,Wind一致预测个股指标,AShareConsensusindex,主营业务收入调高家数（与1月前相比）,EST_OPER_REVENUE_RAISED
144,A股财务,预测,,,,,1,预测,Wind一致预测个股指标,AShareConsensusindex,主营业务收入调低家数（与1月前相比）,EST_OPER_REVENUE_DOWN
145,A股财务,预测,,,,,1,预测,Wind一致预测个股指标,AShareConsensusindex,主营业务收入维持家数（与1月前相比）,EST_OPER_REVENUE_MAINTAIN
146,A股财务,预测,,,,,1,预测,Wind一致预测个股指标,AShareConsensusindex,净利润最大值,NET_PROFIT_MAX
147,A股财务,预测,,,,,1,预测,Wind一致预测个股指标,AShareConsensusindex,净利润最小值,NET_PROFIT_MIN
148,A股财务,预测,,,,,1,预测,Wind一致预测个股指标,AShareConsensusindex,净利润调高家数（与1月前相比）,NET_PROFIT_RAISED
149,A股财务,预测,,,,,1,预测,Wind一致预测个股指标,AShareConsensusindex,净利润调低家数（与1月前相比）,NET_PROFIT_DOWN
150,A股财务,预测,,,,,1,预测,Wind一致预测个股指标,AShareConsensusindex,净利润维持家数（与1月前相比）,NET_PROFIT_MAINTAIN
151,A股财务,预测,,,,,1,预测,Wind一致预测个股指标,AShareConsensusindex,主营业务收入中值,EST_OPER_REVENUE_MEDIAN
152,A股财务,预测,,,,,1,预测,Wind一致预测个股指标,AShareConsensusindex,主营业务收入标准差,EST_OPER_REVENUE_DIF
153,A股财务,预测,,,,,1,预测,Wind一致预测个股指标,AShareConsensusindex,净利润中值,NET_PROFIT_MEDIAN
154,A股财务,预测,,,,,1,预测,Wind一致预测个股指标,AShareConsensusindex,净利润标准差,NET_PROFIT_DIF
155,A股财务,预测,,,,,1,预测,Wind一致预测个股指标,AShareConsensusindex,总资产收益率,RETURN_ASSETS
156,A股财务,预测,,,,,1,预测,Wind一致预测个股指标,AShareConsensusindex,总资产收益率中值,RETURN_ASSETS_MEDIAN
157,A股财务,预测,,,,,1,预测,Wind一致预测个股指标,AShareConsensusindex,总资产收益率标准差,RETURN_ASSETS_DIF
158,A股财务,预测,,,,,1,预测,Wind一致预测个股指标,AShareConsensusindex,总资产收益率最大值,RETURN_ASSETS_MAX
159,A股财务,预测,,,,,1,预测,Wind一致预测个股指标,AShareConsensusindex,总资产收益率最小值,RETURN_ASSETS_MIN
160,A股财务,预测,,,,,1,预测,Wind一致预测个股指标,AShareConsensusindex,净资产收益率,EST_ROE
161,A股财务,预测,,,,,1,预测,Wind一致预测个股指标,AShareConsensusindex,净资产收益率中值,EST_ROE_MEDIAN
162,A股财务,预测,,,,,1,预测,Wind一致预测个股指标,AShareConsensusindex,净资产收益率标准差,EST_ROE_DIF
163,A股财务,预测,,,,,1,预测,Wind一致预测个股指标,AShareConsensusindex,净资产收益率最大值,EST_ROE_MAX
164,A股财务,预测,,,,,1,预测,Wind一致预测个股指标,AShareConsensusindex,净资产收益率最小值,EST_ROE_MIN
165,A股财务,预测,,,,,1,预测,Wind一致预测个股指标,AShareConsensusindex,主营业务收入预测家数,EST_OPER_REVENUE_NUM
166,A股财务,预测,,,,,1,预测,Wind一致预测个股指标,AShareConsensusindex,净利润预测家数,NET_PROFIT_NUM
167,A股财务,预测,,,,,0,预测,Wind一致预测个股滚动指标,AShareConsensusRollingData,Wind代码,S_INFO_WINDCODE
168,A股财务,预测,,,,,0,预测,Wind一致预测个股滚动指标,AShareConsensusRollingData,日期,EST_DT
169,A股财务,预测,,,,,2,预测,Wind一致预测个股滚动指标,AShareConsensusRollingData,类型,ROLLING_TYPE
170,A股财务,预测,,,,,1,预测,Wind一致预测个股滚动指标,AShareConsensusRollingData,净利润,NET_PROFIT
171,A股财务,预测,,,,,1,预测,Wind一致预测个股滚动指标,AShareConsensusRollingData,市盈率,EST_PE
172,A股财务,预测,,,,,1,预测,Wind一致预测个股滚动指标,AShareConsensusRollingData,PEG,EST_PEG
173,A股财务,预测,,,,,1,预测,Wind一致预测个股滚动指标,AShareConsensusRollingData,市净率,EST_PB
174,A股财务,预测,,,,,1,预测,Wind一致预测个股滚动指标,AShareConsensusRollingData,净资产收益率,EST_ROE
175,A股财务,预测,,,,,1,预测,Wind一致预测个股滚动指标,AShareConsensusRollingData,营业收入,EST_OPER_REVENUE
176,A股财务,预测,,,,,1,预测,Wind一致预测个股滚动指标,AShareConsensusRollingData,息税折旧摊销前利润,EST_EBITDA
177,A股财务,预测,,,,,1,预测,Wind一致预测个股滚动指标,AShareConsensusRollingData,利润总额,EST_TOTAL_PROFIT
178,A股财务,预测,,,,,1,预测,Wind一致预测个股滚动指标,AShareConsensusRollingData,营业利润,EST_OPER_PROFIT
179,A股财务,预测,,,,,0,预测,Wind一致预测个股滚动指标,AShareConsensusRollingData,基准年度,BENCHMARK_YR
