no.,name_table_CN,name_table,keyword_anndate_CN,keyword_anndate
1,全球市场交易时间,GlobalMarketTradingTime,na,
2,中国A股Wind概念板块,AShareConseption,,
3,中国A股基本资料,AShareDescription,上市日期,S_INFO_LISTDATE
4,中国A股Wind行业分类,AShareIndustriesClass,纳入日期,ENTRY_DT
5,中国A股科创板所属新兴产业分类,AShareSTIBEmergingIndustries,,
6,中国A股中信行业分类,AShareIndustriesClassCITICS,,
7,申万行业分类,AShareSWIndustriesClass,,
8,申万指数成份明细,SWIndexMembers,,
9,沪股通成分股,SHSCMembers,,
10,深股通成分股,SZSCMembers,,
11,中国A股指数基本资料,AIndexDescription,,
12,中国A股股权关系,AShareEquityRelationships,公告日期,ANN_DT
13,中国A股重要股东增减持,AShareMjrHolderTrade,公告日期,ANN_DT
14,AShareMajorHolderPlanHold,AShareMajorHolderPlanHold,,
15,中国A股月收益率,AShareMonthlyYield,,
16,AShareFinancialExpense,AShareFinancialExpense,公告日期,ANN_DT
17,AShareStrangeTradedetail,AShareStrangeTradedetail,截止日,END_DT
18,中国A股银行专用指标,AShareBankIndicator,,
19,中国A股主营业务构成,AShareSalesSegment, 报告期,REPORT_PERIOD
20,中国共同基金基本资料,ChinaMutualFundDescription,*,
21,中国共同基金席位交易量及佣金,ChinaMutualFundSeatTrading,,
22,中国共同基金投资组合――资产配置,ChinaMutualFundAssetPortfolio,,
23,中国共同基金投资组合――行业配置,ChinaMutualFundIndPortfolio,,
26,全球交易时间,GlobalWorkingDay,OPDATE,OPDATE
27,中国Wind基金分类,ChinaMutualFundSector,,
28,中国共同基金基金经理,ChinaMutualFundManager,,
29,中国A股业绩预告,AShareProfitNotice,,
30,中国A股业绩快报,AShareProfitExpress,,
31,中国A股机构调研参与主体,AShareISParticipant,,
32,香港股票投资评级明细,HKAnalystRating,,
33,香港股票盈利预测明细,HKProfitForecast,,
34,香港股票主营业务构成,HShareSalesSegment,,
35,香港股票财报年结日变更,CHGFinYearEndDT,,
36,香港股票报告期公司类型,HKCompTypeOfReportPeriod,,
37,香港股票财务指标,HKFinancialIndicator,,
38,香港股票资产负债表(GSD),HKGSDBalanceSheet,,
39,香港股票现金流量表(GSD),HKGSDCashFlow,,
40,香港股票损益表(GSD),HKGSDIncome,,
41,香港股票财报审计意见,HKShareAuditOpinion,,
42,香港股票银行专用指标,HKShareBankIndicator,,
43,香港股票董事会会议日期,HKShareDateofBoardMeeting,,
44,香港股票财务衍生指标表,HKShareFinancialderivative,,
45,香港股票TTM与MRQ,HKShareTTMAndMRQ,,
46,香港股票TTM指标历史数据,HKShareTTMHis,,
47,一致预期因子,ConsensusExpectationFactor,,
48,对数及其他日估值因子,DailyValuationFactor,,
49,指数移动平均型指标(后复权),IndexMobilityBackright,,
50,指数估值因子,IndexValuationFactor,,
51,行业日衍生因子,IndustryDerivativeFactor,,
52,行情衍生因子,MarketDerivativeFactor,,
53,PIT财务因子(中国准则),PITFinancialFactor,,
54,PIT财务指标变动表(中国准则),PITIndexChange,,
55,收益类技术因子,RevenueTechnicalFactor,,
56,趋势风险因子,TrendRiskFactor,,
57,TTM历史与MRQ指标(中国准则),TTMAndMRQIndex,,
58,成交量换手率技术因子,TurnoverTechnicalFactor,,
